Primary star name,All star names,Mass [MSun],Mass [MSun] errorminus,Mass [MSun] errorplus,Radius [RSun],Radius [RSun] errorminus,Radius [RSun] errorplus,Age [Gyr],Age [Gyr] errorminus,Age [Gyr] errorplus,Age [Gyr] lowerlimit,Age [Gyr] upperlimit,Metallicity [Fe/H],Metallicity [Fe/H] errorminus,Metallicity [Fe/H] errorplus,Temperature [K],Temperature [K] errorminus,Temperature [K] errorplus,Spectral type,Visual magnitude,Visual magnitude errorminus,Visual magnitude errorplus,source (xml)
51 Eri,51 Eri|51 Eridani|c Eri|c Eridani|HD 29391|HIP 21547|TYC 4739-1551-1|2MASS J04373613-0228248|HR 1474|BD-02 963|WDS J04376-0228 A|WAL 32 A,1.75,0.05,0.05,,,,0.020,0.006,0.006,,,-0.027,,,,,,F0IV,5.223,,,51 Eri.xml
GJ 3305 A,GJ 3305 A|WDS J04376-0228 Ca|KAS 1 A,0.67,0.05,0.05,,,,,,,,,,,,,,,M0,7.70,,,51 Eri.xml
GJ 3305 B,GJ 3305 B|WDS J04376-0228 Cb|KAS 1 B,0.44,0.05,0.05,,,,,,,,,,,,,,,M3,10.90,,,51 Eri.xml
51 Peg,51 Peg|HD 217014|HIP 113357|HR 8729|BD+19 5036|Gliese 882|SAO 90896|TYC 1717-2193-1,1.04,,,1.266,,,,,,,,0.2,,,5793.0,,,G2 IV,5.49,,,51 Peg.xml
55 Cancri A,55 Cancri A|55 Cnc A|rho01 Cnc A|Rho-1 Cancri A|r1 Cnc A|r1 Cancri A|HD 75732|HIP 43587|TYC 1949-2012-1|SAO 80478|HR 3522|Gliese 324 A|GJ 324 A|BD+28 1660 A|2MASS J08523579+2819509|WDS J08526+2820 A|LDS 6219 A,0.960,0.067,0.067,0.960,0.018,0.018,,,,,,0.3,0.1,0.1,5219,26,26,K0V,5.95,0.05,0.05,55 Cancri.xml
55 Cancri B,55 Cancri B|55 Cnc b|rho01 Cnc B|Rho-1 Cancri B|r1 Cnc B|r1 Cancri B|Gliese 324 B|GJ 324 B|BD+28 1660 B|2MASS J08524084+2818589|WDS J08526+2820 B|LDS 6219 B,0.2,,,,,,,,,,,,,,,,,M4,13,,,55 Cancri.xml
6 Lyn,6 Lyn|6 Lyncis|HD 45410|HIP 31039|TYC 3777-2071-1|SAO 25771|HR 2331|BD+58 932|2MASS J06304711+5809453,1.82,0.13,0.13,5.2,0.3,0.4,,,,,,-0.13,,,4978.0,,,K0IV,5.86,,,6 Lyn.xml
61 Vir,61 Vir|61 Virginis|HD 115617|HIP 64924|TYC 6116-1517-1|SAO 157844|GJ 506|Gliese 506|HR 5019|BD-17 3813|2MASS J13182443-1818387,0.95,0.03,0.04,0.963,0.011,0.011,6.3,3.1,3.3,,,0.05,,,5571,,,G5V,4.740,0.009,0.009,61 Vir.xml
7 CMa,7 CMa|7 Canis Majoris|nu.02 CMa|Nu-2 Canis Majoris|n2 CMa|n2 Canis Majoris|HD 47205|HIP 31592|TYC 5956-2621-1|SAO 151702|HR 2429|BD-19 1502|CPD-19 1369|Gliese 239.1|GJ 9214|2MASS J06364103-1915210,1.52,0.30,0.30,2.3,0.1,0.1,,,,,,0.21,0.10,0.10,4792,100,100,K1 III,3.96,,,7 CMa.xml
70 Vir,70 Vir|BD+14 2621|Gliese 9446|HD 117176|HIP 65721|2MASS J1328282584+1346447|PPM 129843|TYC 898-1042-1,1.09,0.002,0.002,1.94,0.05,0.05,7.77,0.51,0.51,,,-0.09,0.03,0.03,5439,44,44,G4 V,4.970,0.009,0.009,70 Vir.xml
75 Cet,75 Cet|75 Ceti|HD 15779|HIP 11791|TYC 4698-1302-1|SAO 129959|HR 739|BD-01 353|2MASS J02320943-0102055,2.49,,,10.5,,,,,,,,0.00,0.04,0.04,4846,18,18,G3III:,5.364,,,75 Cet.xml
8 Ursae Minoris,8 Ursae Minoris|HD 133086|HIP 73136|TYC 4417-267-1|BD+75 547|PPM 8785|WDS J14568+7454A|2MASS J14564834+7454032,1.8,0.1,0.1,9.9,0.4,0.4,,,,,,-0.03,0.02,0.02,4847.4,7.5,7.5,K0,6.843,,,8 Ursae Minoris.xml
81 Cet,81 Cet|81 Ceti|HD 16400|HIP 12247|TYC 4701-1094-1|SAO 130026|HR 771|BD-04 436|2MASS J02374179-0323462,2.4,,,11,,,,,,,,-0.06,,,4790.0,,,G5III,5.65,,,81 Cet.xml
83 Leonis A,83 Leonis A|83 Leo A|HD 99491|HIP 55846|TYC 267-1191-1|SAO 118864|HR 4414|Gliese 429 A|GJ 429 A|BD+03 2502|2MASS J11264531+0300475|WDS J11268+0301 A|STF 1540 A,0.995,0.062,0.058,0.93,0.04,0.03,,,,,,,,,5509,,,K0IV,6.50,,,83 Leonis.xml
83 Leonis B,83 Leonis B|83 Leo B|HD 99492|HIP 55848|TYC 267-1200-1|SAO 118865|Gliese 429 B|GJ 429 B|BD+03 2503|2MASS J11264627+0300229|WDS J11268+0301 B|STF 1540 B,0.832,0.020,0.036,0.76,0.02,0.04,4,,,,,0.36,,,4740,,,K2V,7.38,,,83 Leonis.xml
91 Aquarii A,91 Aquarii A|91 Aqr A|psi01 Aqr A|Psi-1 Aquarii A|ps1 Aqr A|ps1 Aquarii A|HD 219449 A|HIP 114855 A|Gliese 893.2 A|GJ 893.2 A|GJ 9815 A|BD-09 6156 A|WDS J23159-0905 A,1.4,0.1,0.1,11.0,0.1,0.1,3.56,0.63,0.63,,,-0.03,0.1,0.1,4665,18,18,K0 III,4.24,,,91 Aquarii.xml
91 Aquarii B,91 Aquarii B|91 Aqr B|psi01 Aqr B|Psi-1 Aquarii B|ps1 Aqr B|ps1 Aquarii B|HD 219449 B|HIP 114855 B|Gliese 893.2 B|GJ 893.2 B|GJ 9815 B|BD-09 6156 B|WDS J23159-0905 B,0.78,,,,,,,,,,,,,,,,,K3V,9.9,,,91 Aquarii.xml
91 Aquarii C,91 Aquarii C|91 Aqr C|psi01 Aqr C|Psi-1 Aquarii C|ps1 Aqr C|ps1 Aquarii C|HD 219449 C|HIP 114855 C|Gliese 893.2 C|GJ 893.2 C|GJ 9815 C|BD-09 6156 C|WDS J23159-0905 C,0.73,,,,,,,,,,,,,,,,,K,10.1,,,91 Aquarii.xml
AB Pic,AB Pic,,,,,,,,,,,,-0.64,,,4875.0,,,K2 V,9.16,,,AB Pic.xml
alf Ari,alf Ari|Alpha Arietis|a Ari|a Arietis|Hamal|13 Ari|13 Arietis|HD 12929|HIP 9884|TYC 1758-2416-1|SAO 75151|HR 617|Gliese 84.3|GJ 84.3|GJ 9072|BD+22 306|2MASS J02071038+2327447,1.5,0.2,0.2,13.9,0.3,0.3,,,,,,-0.09,0.03,0.03,4553,15,15,K2III,2.01,,,alf Ari.xml
alf Tau,alf Tau|Aldebaran|alf Tau A|Alpha Tauri A|a Tau A|a Tauri A|Aldebaran A|87 Tau A|87 Tauri A|HR 1457|HD 29139|HIP 21421|TYC 1266-1416-1|BD+16 629|PPM 120061|Gliese 171.1 A|GJ 171.1 A|GJ 9159 A|WDS J04359+1631 A|BU 550 A,1.13,0.11,0.11,45.1,0.1,0.1,6.6,2.4,2.4,,,-0.27,0.05,0.05,4055,70,70,K5 III,0.99,,,alf Tau.xml
alf Tau B,alf Tau B|Alpha Tauri B|Aldebaran B|a Tau B|a Tauri B|87 Tau B|87 Tauri B|Gliese 171.1 B|GJ 171.1 B|GJ 9159 B|BD+16 629 B|WDS J04359+1631 B|BU 550B,,,,,,,,,,,,,,,,,,M2V,13.6,,,alf Tau.xml
Proxima Centauri,Proxima Centauri|a Centauri C|GL 551|HIP 70890|Proxima,0.120,0.015,0.014,0.141,0.019,0.022,,,,,,,,,3050,100,100,M5.5V,,,,Alpha Centauri.xml
Alpha Centauri A,Alpha Centauri A|alf Cen A|a Cen A|a Centauri A|Alpha-1 Centauri|alf01 Cen|a1 Cen|a1 Centauri|Rigil Kentaurus A|Rigil Kent A|Toliman A|Bungula A|Gliese 559 A|GJ 559 A|HR 5459|HD 128620|HIP 71683|TYC 9007-5849-1|CD-60 5293 A|CPD-60 5483 A|WDS J14396-6050 A|RHD 1 A,1.100,0.006,0.006,1.227,0.005,0.005,,,,,,0.20,0.02,0.02,5790,30,30,G2 V,0.01,,,Alpha Centauri.xml
Alpha Centauri B,Alpha Centauri B|alf Cen B|a Cen B|a Centauri B|Alpha-2 Centauri|alf02 Cen|a2 Cen|a2 Centauri|Rigil Kentaurus B|Rigil Kent B|Toliman B|Bungula B|Gliese 559 B|GJ 559 B|HR 5460|HD 128621|HIP 71681|TYC 9007-5848-1|WDS J14396-6050 B|RHD 1 B,0.907,0.006,0.006,0.865,0.006,0.006,,,,,,0.23,0.03,0.03,5260,50,50,K1 V,1.33,,,Alpha Centauri.xml
BD+14 4559,BD+14 4559|BD14 4559|HIP 104780|TYC 1117-615-1|2MASS J21133598+1441218,0.86,0.15,0.15,,,,,,,,,0.10,0.07,0.07,5008,20,20,K2V,9.66,0.03,0.03,BD+14 4559.xml
BD+15 2940,BD+15 2940|HIP 78407|TYC 1503-1050-1|SAO 101867|2MASS J16002294+1532491,1.1,0.2,0.2,14.7,2.8,2.8,7.1,4.2,4.2,,,0.28,0.07,0.07,4796,117,117,K0,9.05,0.02,0.02,BD+15 2940.xml
BD+20 1790,BD+20 1790|V429 Gem|V429 Geminorum|2MASS J07234358+2024588|TYC 1355-214-1|1SWASP J072343.59+202458.6,0.63,0.09,0.09,,,,,,,0.035,0.080,0.30,0.20,0.20,4410,,,K5Ve,10.001,0.060,0.060,BD+20 1790.xml
BD+20 2457,BD+20 2457|BD20 2457|TYC 1422-790-1|2MASS J10164485+1953290,2.8,1.5,1.5,,,,,,,,,-1.00,0.07,0.07,4137,10,10,K2II,9.74,0.03,0.03,BD+20 2457.xml
BD+20 274,BD+20 274|TYC 1211-603-1|SAO 74893|2MASS J01434087+2100191|GSC 01211-00603,0.8,0.2,0.2,17.3,0.9,0.9,,,,,,-0.46,0.07,0.07,4296,10,10,K5 III,9.367,0.029,0.029,BD+20 274.xml
BD+48 738,BD+48 738|TYC 3304-323-1|SAO 38269|2MASS J02425045+4935130,0.74,0.39,0.39,11,1,1,,,,,,-0.20,0.07,0.07,4414,15,15,K0III,9.139,0.017,0.017,BD+48 738.xml
BD+49 828,BD+49 828|GSC 03318-01515|TYC 3318-1515-1|2MASS J03023372+4943480,1.52,0.22,0.22,7.6,1.3,1.3,2.3,0.8,1.2,,,-0.19,0.06,0.06,4943,30,30,K0,9.38,0.02,0.02,BD+49 828.xml
BD-08 2823,BD-08 2823|HIP 49067|TYC 5480-20-1|SAO 137286|2MASS J10004775-0931001,0.74,0.07,0.07,,,,4.5,4.0,4.0,,,-0.07,0.03,0.03,4746,63,63,K3V,9.86,,,BD-08 2823.xml
BD-10 3166,BD-10 3166|TYC 5503-946-1|2MASS J10582880-1046133,0.85,,,0.81,0.03,0.05,,,,,1.84,0.382,0.030,0.030,5393,44,44,K3.0 V,10.01,0.04,0.04,BD-10 3166.xml
BD-11 4672,BD-11 4672|BD-114672|HIP 90979|TYC 5699-2129-1|SAO 161603|Gliese 717|GJ 717|2MASS J18332885-1138097,0.571,0.014,0.014,0.52,0.02,0.02,4.4,4,4,,,-0.48,0.05,0.05,4475,100,100,K7 V,9.99,0.05,0.05,BD-11 4672.xml
BD-17 63,BD-17 63|HIP 2247|TYC 5840-482-1|SAO 147293|2MASS J00283433-1613343,0.74,0.03,0.03,0.69,,,4.3,4,4,,,-0.03,0.06,0.06,4714,93,93,K5V,9.62,,,BD-17 63.xml
beta Cancri,beta Cancri|bet Cnc|b Cnc|b Cancri|17 Cnc|17 Cancri|Al Tarf|HD 69267|HIP 40526|TYC 794-1622-1|SAO 116569|HR 3249|BD+09 1917|2MASS J08163090+0911080,1.7,0.1,0.1,47.2,1.3,1.3,1.85,0.34,0.34,,,-0.29,0.06,0.06,4092.1,17.5,17.5,K4III,3.520,0.009,0.009,beta Cancri.xml
beta Pic,beta Pic|bet Pic|Beta Pictoris|HR 2020|HD 39060|HIP 27321|SAO 234134|TYC 8099-1392-1|CD-51 1620|2MASS J05471708-5103594,1.60,0.05,0.05,,,,0.023,0.003,0.003,,,,,,9790.0,,,A6V,3.86,,,beta Pic.xml
beta Ursae Minoris,beta Ursae Minoris|HD 131873|beta UMi|bet UMi|b Ursae Minoris|b UMi|7 Ursae Minoris|7 UMi|Kochab|HIP 72607|TYC 4416-1799-1|SAO 8102|HR 5563|BD+74 595|2MASS J14504235+7409199,1.4,0.2,0.2,38.3,1.1,1.1,2.95,1.03,1.03,,,-0.27,0.07,0.07,4126,25,25,K4IIIvar,2.08,,,beta Ursae Minoris.xml
CFBDS 1458,CFBDS 1458|CFBDSIR J145829+101343,0.02,,,,,,,,,,,,,,540.0,,,T9.5,,,,CFBDS 1458.xml
CHXR 73,CHXR 73,0.35,,,,,,,,,,,,,,3840.0,,,M3.25,,,,CHXR 73.xml
CoRoT-1,CoRoT-1,0.95,0.15,0.15,1.11,0.05,0.05,,,,,,-0.3,0.25,0.25,6298.0,150,150,G0V,13.6,,,CoRoT-1.xml
CoRoT-10,CoRoT-10,0.89,,,0.79,,,,,,,,0.26,,,5075.0,,,K1V,15.216,,,CoRoT-10.xml
CoRoT-11,CoRoT-11,1.27,,,1.37,,,,,,,,-0.03,,,6440.0,,,F6V,12.80,0.38,0.38,CoRoT-11.xml
CoRoT-12,CoRoT-12,1.078,,,1.116,,,,,,,,0.16,,,5675.0,,,G2V,15.515,0.052,0.052,CoRoT-12.xml
CoRoT-13,CoRoT-13,1.09,,,1.01,,,,,,,,0.01,,,5945.0,,,G0V,15.04,,,CoRoT-13.xml
CoRoT-14,CoRoT-14,1.13,,,1.21,,,,,,,,0.05,,,6035.0,,,F9V,16.03,0.070,0.070,CoRoT-14.xml
CoRoT-16,CoRoT-16,1.098,,,1.19,,,,,,,,0.19,,,5650.0,,,G5V,16.03,0.43,0.43,CoRoT-16.xml
CoRoT-17,CoRoT-17,1.04,,,1.59,,,,,,,,,,,5740.0,,,G2V,15.88,0.43,0.43,CoRoT-17.xml
CoRoT-18,CoRoT-18,0.95,,,1,,,,,,,,-0.1,,,5440.0,,,G9V,15.00,0.1,0.1,CoRoT-18.xml
CoRoT-19,CoRoT-19,1.21,,,1.65,,,,,,,,-0.02,,,6090.0,,,F9V,14.007,,,CoRoT-19.xml
CoRoT-2,CoRoT-2,0.97,0.06,0.06,0.902,0.018,0.018,,,,,,,,,5575.0,,,G7V,12.568,,,CoRoT-2.xml
CoRoT-20,CoRoT-20,1.14,0.14,0.14,1.02,0.05,0.05,0.1,0.04,0.8,,,0.14,0.12,0.12,5880.0,90,90,G2V,14.66,,,CoRoT-20.xml
CoRoT-21,CoRoT-21,1.29,,,1.945,,,,,,,,,,,6200.0,,,FIV8,15.84,,,CoRoT-21.xml
CoRoT-22,CoRoT-22|2MASS 18424010+0613088,1.099,0.049,0.049,1.136,0.09,0.038,3.3,2,2,,,0.17,0.12,0.07,5939,120,54,G0IV,13.944,0.083,0.083,CoRoT-22.xml
CoRoT-23,CoRoT-23,1.14,,,1.61,,,,,,,,0.05,,,5900.0,,,G0V,15.63,,,CoRoT-23.xml
CoRoT-24,CoRoT-24|2MASS 06474141-0343094,0.91,0.09,0.09,0.86,0.09,0.09,11,,,,,0.3,0.15,0.15,4950,150,150,K1V,,,,CoRoT-24.xml
CoRoT-25,CoRoT-25|2MASS J18423111+0630497,1.09,0.05,0.11,1.19,0.03,0.14,,,,,,-0.01,0.13,0.13,6040,90,90,F9V,14.965,0.031,0.031,CoRoT-25.xml
CoRoT-26,CoRoT-26|2MASS J18390012+0658112,1.09,0.06,0.06,1.79,0.09,0.18,,,,,,0.01,0.13,0.13,5590,100,100,G5,15.756,0.06,0.06,CoRoT-26.xml
CoRoT-27,CoRoT-27|2MASS 1183241962,1.05,0.11,0.11,1.08,0.06,0.18,4.21,2.72,2.72,,,0.1,0.1,0.1,5900,120,120,G2,,,,CoRoT-27.xml
CoRoT-28,CoRoT-28|2MASS J18344520+0534254,1.01,0.14,0.14,1.78,0.11,0.11,12.0,1.5,1.5,,,0.15,0.10,0.10,5150,100,100,G8/9IV,13.775,0.022,0.022,CoRoT-28.xml
CoRoT-29,CoRoT-29|2MASS J18353650+0628467,0.97,0.14,0.14,0.90,0.12,0.12,4.5,3.5,3.5,,,0.20,0.10,0.10,5260,100,100,K0V,15.560,0.069,0.069,CoRoT-29.xml
CoRoT-3,CoRoT-3,1.37,0.09,0.09,1.56,0.09,0.09,,,,,,-0.02,0.06,0.06,6740,140,140,F3V,13.292,,,CoRoT-3.xml
CoRoT-4,CoRoT-4,1.1,,,1.15,,,,,,,,0.05,,,6190.0,,,F8V,13.7,,,CoRoT-4.xml
CoRoT-5,CoRoT-5,1.00,0.02,0.02,1.186,0.04,0.04,,,,,,-0.25,0.06,0.06,6100.0,,,F9V,14,,,CoRoT-5.xml
CoRoT-6,CoRoT-6,1.05,0.05,0.05,1.025,0.026,0.026,,,,,,-0.2,,,6090.0,,,F5V,13.80,0.30,0.30,CoRoT-6.xml
CoRoT-7,CoRoT-7,0.93,,,0.87,,,,,,,,0.03,,,5313.0,,,K0V,11.73,0.15,0.15,CoRoT-7.xml
CoRoT-8,CoRoT-8,0.88,,,0.77,,,,,,,,0.3,,,5080.0,,,K1V,14.797,,,CoRoT-8.xml
CoRoT-9,CoRoT-9,0.99,,,0.94,,,,,,,,-0.01,,,5625.0,,,G3V,13.46,0.31,0.31,CoRoT-9.xml
CT Cha,CT Cha,,,,,,,,,,0.001,0.005,,,,5150.0,,,K7,12.36,,,CT Cha.xml
DH Tau,DH Tau,0.4,,,,,,,,,,,,,,3840.0,,,M0.5V,13.71,,,DH Tau.xml
DP Leo,DP Leo,0.6,,,0.0144,,,,,,,,,,,13500,,,AM Her,17.5,,,DP Leo.xml
DP Leo,DP Leo,0.09,,,,,,,,,,,,,,3000,,,,,,,DP Leo.xml
EPIC 201208431,EPIC 201208431|K2-4|2MASS J11385895-0354202,0.63,0.03,0.03,0.6,0.02,0.02,,,,,,-0.12,0.12,0.1,4197,43,45,,,,,EPIC 201208431.xml
EPIC 201208431 B,EPIC 201208431 B,,,,,,,,,,,,,,,,,,,,,,EPIC 201208431.xml
EPIC 201295312,EPIC 201295312|2MASS J11360278-0231150,1.13,0.07,0.07,1.52,0.10,0.10,,,,,,0.13,0.07,0.07,5830,70,70,,,,,EPIC 201295312.xml
EPIC 201338508,EPIC 201338508|K2-5|2MASS J11171284-0152406,0.61,0.13,0.13,0.57,0.12,0.12,,,,,,-0.33,0.19,0.19,3930,375,375,,14.91,0.03,0.03,EPIC 201338508.xml
EPIC 201367065,EPIC 201367065|K2-3|2MASS J11292037-0127173,0.60,0.09,0.09,0.56,0.07,0.07,,,,1,,-0.32,0.13,0.13,3896,189,189,M0.2V,12.17,0.01,0.01,EPIC 201367065.xml
EPIC 201384232,EPIC 201384232|K2-6|2MASS J11524614-0111545,0.97,0.07,0.07,0.96,0.09,0.14,,,,,,-0.14,0.2,0.17,5850,98,79,,,,,EPIC 201384232.xml
EPIC 201384232 B,EPIC 201384232 B,,,,,,,,,,,,,,,,,,,,,,EPIC 201384232.xml
EPIC 201393098,EPIC 201393098|K2-7|2MASS J11082249-0103565,0.97,0.06,0.06,0.96,0.08,0.17,,,,,,-0.07,0.16,0.16,5772,91,72,,,,,EPIC 201393098.xml
EPIC 201403446,EPIC 201403446,1.01,0.06,0.08,1.12,0.14,0.26,,,,,,-0.5,0.13,0.15,6445,111,81,,,,,EPIC 201403446.xml
EPIC 201403446 B,EPIC 201403446 B,,,,,,,,,,,,,,,,,,,,,,EPIC 201403446.xml
EPIC 201445392,EPIC 201445392|K2-8|2MASS J11191047-0017036,0.78,0.04,0.04,0.74,0.04,0.04,,,,,,-0.02,0.04,0.04,4870,60,60,,14.61,0.03,0.03,EPIC 201445392.xml
EPIC 201465501,EPIC 201465501|K2-9|2MASS J11450348+0000190,0.30,0.14,0.14,0.31,0.11,0.11,,,,1,,-0.25,0.20,0.20,3390,150,150,M2.5V,15.63,,,EPIC 201465501.xml
